Harith AI-Sahaf
Sandip Aine
Charilaos Akasiadis
Md Shad Akhtar
Sudo Akihito
Youhei Akimoto
Mehwish Alam
Marco Alberti
Stefano Albrecht
Natasha Alechina
Nikolaos Aletras
Ron Alford
Mohammad Alizadeh
Shani Alkoby
Vânia Almeida
Jose Maria Alonso
Aamena Alshamsi
Mario Alviano
Francesco Amigoni
Ofra Amir
Hadi Amiri
Waleed Ammar
Aijun An
Bo An
Hirokazu Anai
Ankit Anand
Saket Anand
Shin Ando
Abdul Fatir Ansari
Carlos Ansotegui
Xiang Ao
Annalisa Appice
Yuki Arase
Christopher Archibald
Oleg Arenz
Christian Artigues
Sunil Aryal
Masataro Asai
Naveen Ashish
Stylianos Asteriadis
Vernon Asuncion
Jamal Atif
Guillaume Aucher
Vincenzo Auletta
Zeyar Aung
Bernardo Avila Pires
Edmond Awad
Reyhan Aydoğan
Mahmoud Azab
Amos Azaria
Javad Azimi
Kamyar Azizzadenesheli
Rina Azoulay
Behrouz Babaki
Rohit Babbar
Yakov Babichenko
Jaume Bacardit
Davide Bacciu
Christer Bäckström
Pierre-Luc Bacon
Antonio Bahamonde
Aijun Bai
Haoli Bai
Lu Bai
Song Bai
Xiao Bai
Hendrik Baier
Jorge Baier
Niranjan Balasubramanian
Ioana Baldini
Marcello Balduccini
Lamberto Ballan
Bita Banihashemi
Gagan Bansal
Wolfgang Banzhaf
Han Bao
Yujia Bao
David Barbella
Francesco Barbieri
Laura Barbulescu
Nolan Bard
Elias Bareinboim
Ken Barker
Mike Barley
Loïc Barrault
Leliane Barros
Nathanaël Barrot
Roberto Basili
Nicola Basilico
Nick Bassiliades
Kim Batselier
Ringo Baumann
Dorothea Baumeister
Inci M. Baytas
Xiaohui Bei
Francesco Belardinelli
Rachel Bellamy
Vaishak Belle
Elena Bellodi
Nicola Bellotto
Boris Belousov
Omer Ben-Porat
Nawal Benabbou
Farah Benamara
Alessio Benavoli
J. Benton
Pascal Bercher
Jeremias Berg
Matt Berger
David Bergman
Ralph Bergmann
Sara Bernadini
Ghita Berrada
Leopoldo Bertossi
Laurent Besacier
Sahely Bhadra
Chandra Bhagavatula
Satyanath Bhat
Suma Bhat
Archna Bhatia
Mehul Bhatt
Indrajit Bhattacharya
Pushpak Bhattacharya
Arnab Bhattacharyya
Sourangshu Bhattacharyya
Brojeshwar Bhowmick
Wei Bi
Jiang Bian
Wei Bian
Yatao (An
 Bian
Armin Biere
Battista Biggio
Vittorio Bilò
Jonathan Binas
Alexander Binder
Sebastian Binnewies
Peter Biro
Filippo Bistaffa
Stefano Bistarelli
Arijit Biswas
Gautam Biswas
Arthur Bit-Monnot
Bjoern Schuller
Sebastien Blandin
Konstantinos Blekas
Patrick Bloebaum
Domenico Bloisi
Michelle Blom
Alexander Bochman
Mark Boddy
Anton Bogdanovych
Sergiy Bogomolov
Thomas Bolander
Danushka Bollegala
Thomas Bonald
Angela Bonifati
Grégory Bonnet
Kalina Bontcheva
Elise Bonzon
Andrea Borghesi
Alex Borgida
Mihaela Bornea
Daniel Borrajo
Branislav Bošanský
Antoine Bosselut
Mohamed Reda Bouadjenek
Zied Bouraoui
Camille Bourgaux
Pierre Bourhis
Sylvain Bouveret
Bruno Bouzy
António Branco
Paula Branco
Jurgen Branke
Jake Brawer
Robert Bredereck
Ulf Brefeld
Gerhard Brewka
Will Bridewell
Chris Brockett
Eric Brown
Ivan Brugere
Jiajun Bu
Jonas Buchli
Thiago Bueno
Beat Buesser
Olivier Buffet
Paul Buitelaar
Vadim Bulitko
Neil Burch
Laura Burdick
Evgeny Burnaev
Davide Buscaldi
Marlos C. Machado
Elena Cabrio
Deng Cai
Guoyong Cai
Jianfei Cai
Lei Cai
Ruichu Cai
Weidong Cai
Yi Cai
Toon Calders
Andrea Cali
Iacer Calixto
Alberto Camacho
Rui Camacho
Jose Camacho Collados
Hardrien Cambazad
Erik Cambria
Brais Cancela
Bokai Cao
Huiping Cao
Jiannong Cao
Wei Cao
Xiaochun Cao
Cornelia Caragea
Ioannis Caragiannis
Alan Carlin
David Carlson
Mark Carman
Walter Carnielli
Michael Cashmore
Jörg Cassens
Alberto Castellini
Pablo Samuel Castro
Tristan Cazenave
Andrea Celli
Keting Cen
Sofia Ceppi
Vítor Cerqueira
Federico Cerutti
Amedeo Cesta
Iadine Chades
Joyce Chai
Tathagata Chakraborti
Mithun Chakraborty
Shayok Chakraborty
Tanmoy Chakraborty
Hau Chan
Hei Chan
Hou Pong Chan
Jeffrey Chan
Keith Chan
Patrick Chan
Jake Chandler
Baobao Chang
Bo Chang
Edward Chang
Hang Chang
Heyou Chang
Hong Chang
Kai-Wei Chang
Liang Chang
Maria Chang
Poo-Hee Chang
Xiangyu Chang
Xiaojun Chang
Yale Chang
Soravit Changpinyo
Guoqing Chao
Archie Chapman
Francois Charpillet
Kyriakos Chatzidimitriou
Sid Chi-Kin Chau
Vincent Chau
Sanjay Chawla
Wanxiang Che
Zhengping Che
Muhammad Aamir Cheema
Bei Chen
Binghong Chen
Bo Chen
Bo Chen
Bo Chen
Boxing Chen
Chao Chen
Chao Chen
Chaochao Chen
Chen Chen
Chen Chen
Chien-Chin Chen
Chu-Song Chen
Cong Chen
Dapeng Chen
Dong Chen
Dongdong Chen
Enhong Chen
Feng Chen
Gang Chen
Haipeng Chen
Hong Chen
Hongshen Chen
Hsin-Hsi Chen
Hwann-Tzong Chen
Jie Chen
Junwen Chen
Ke Chen
Kehai Chen
Lichao Chen
Liqun Chen
Lisi Chen
Long Chen
Muhao Chen
Nancy Chen
Pin-Yu Chen
Ping Chen
Qi Chen
Qingliang Chen
ShiZhe Chen
Shu-Ching Chen
Shuo Chen
Si-Bao Chen
Songcan Chen
Wang Chen
Wei Chen
Wenhu Chen
Wenliang Chen
Xiao Chen
Xiaobo Chen
Xilin Chen
Xinchi Chen
Xinlei Chen
Xinlei Chen
Xinpeng Chen
Yang Chen
Yanping Chen
Yi-Shin Chen
Yichen Chen
Ying-Ping Chen
Yingke Chen
Yubo Chen
Yueguo Chen
Yufeng Chen
Yun-Nung Chen
Yuncong Chen
Yunji Chen
Yunpeng Chen
Yuxin Chen
Zaiyi Chen
Zheng Chen
Zhengzhang Chen
Zhenzhong Chen
Zhitang Chen
Zhumin Chen
Dehua Cheng
Hsu-Yung Cheng
Jian Cheng
Li Cheng
Ming-Ming Cheng
Ran Cheng
Shih-Fen Cheng
Victor Cheng
Wei Cheng
Weiwei Cheng
Xueqi Cheng
Yong Cheng
Yu Cheng
Vijil Chenthamarakshan
Yiu-ming Cheung
Niyati Chhaya
Hai Leong Chieu
Dhivya Chinnappa
Raymond Chiong
Wei-Chen Chiu
Sung-Bae Cho
Arthur Choi
Dongkyu Choi
Shamil Chollampatt
Jaegul Choo
Amit Chopra
Yinlam Chow
Md Faisal Mahbub Chowdhury
Christos Christodoulopoulos
Lukas Chrpa
Chenhui Chu
Ching-Yao Chuang
Yung-Yu Chuang
Alessandro Cimatti
Philipp Cimiano
Andre Cire
Elizabeth Clark
Jens Claßen
Chris Clifton
Aurelie Clodic
Carlos Coello Coello
Guillem Collell
Gheorghe Comanici
Richard Combes
Yang Cong
Danish Contractor
Giorgio Corani
Oscar Corcho
Cristina Cornelio
Gabriella Cortellessa
Ulises Cortes
Anna Helena Reali Costa
Vitor Santos Costa
Stefania Costantini
Giuseppe Cota
Benoit Crabb
David Crandall
Stephen Cranefield
Christopher Crick
Danilo Croce
Heriberto Cuayahuitl
Jia Cui
Lei Cui
Wanyun Cui
Yiming Cui
Zhen Cui
Zhenghang Cui
Rachel Cummings
James Cussens
Marek Cygan
Florence d’Alche-Buc
Qing Da
Célia da Costa Pereira
Giovanni Da San Martino
Bruno C. da Silva
William Dabney
Andrew Dai
Bo Dai
Feng Dai
Hanjun Dai
Jifeng Dai
Qi Dai
Wang-Zhou Dai
Xin-yu Dai
Xiyang Dai
Yuchao Dai
Christoph Dann
Dustin Dannenhauer
Stepanova Daria
Amitava Das
Mrinal Das
Sanmay Das
Shubhomoy Das
Swagatam Das
Marelie Davel
Jessica Davies
Jim Davies
Toby Davies
Jesse Davis
Alan Davoust
Hasan Davulcu
Luis de Campos
Ronald de Haan
Dave De Jonge
Bart de Keijzer
Johan de Kleer
Tiago de Lima
Riccardo De Masellis
Geeth de Mel
Frits de Nijs
Chris De Sa
Rodrigo de Salvo Braz
Marina de Vos
Rina Dechter
Tom Decroos
Thomas Degris
Lea Deleris
James Delgrande
Dario Della Monica
Emir Demirović
Cheng Deng
Jeremiah Deng
Yue Deng
Zhaohong Deng
Lihi Dery
Nirmit Desai
Murthy Devarakonda
Barry Devereux
Adithya Devraj
Palash Dey
Amit Dhurandhar
Tommaso Di Noia
Jilles Dibangoye
Victor Dibia
Grant Dick
John Dickerson
Adji Bousso Dieng
Virginia Dignum
Chris Ding
Guiguang Ding
Meng Ding
Xiao Ding
Xinghao Ding
Yanzhuo Ding
Yao-Xiang Ding
Zhuoye Ding
Santosh Divvala
Minh Do
Trong Dinh Thac Do
Carmine Dodaro
Benjamin Doerr
Jianfeng Dong
Jingming Dong
Junyu Dong
Mianxiong Dong
Wen Dong
Yanni Dong
Yinpeng Dong
Yuxiao Dong
Jana Doppa
Prashant Doshi
Dejing Dou
Qi Dou
Zhicheng Dou
John Doucette
David Dowe
Kenji Doya
Mauro Dragoni
Kurt Driessens
Nicolas Drougard
Changying Du
Hongying Du
Jian Du
Jianfeng Du
Lan Du
Nan Du
Nan Du
Simon Du
Nan Duan
Parijat Dube
Paul Duckworth
Paul Duetting
Yann Dujardin
Sebastijan Dumancic
Nadir Durrani
